score,MolW,cLogP,RotB
-51.12,346.372,1.2805,6
-55.0199,337.301,3.94662,5
-56.4301,356.426,1.2678,7
-48.2399,373.718,3.8901,2
-44.73,313.365,0.1766,5
-44.2301,286.316,2.49012,2
-41.7601,293.436,3.0451,3
-46.8001,365.44,1.48374,4
-53.6601,347.463,1.7316,2
-57.3001,392.257,1.6621,5
-44.1301,278.381,0.669,2
-57.4201,314.429,3.1644,6
-60.8701,398.388,4.9423,4
-72.2401,436.483,3.3534,9
-34.83,250.298,1.29578,4
-55.5298,358.294,3.878,5
-55.0802,359.47,2.01192,3
-58.9299,316.409,0.8767,3
-44.0101,356.256,2.6488,5
-50.6298,408.661,1.9402,5
-54.21,336.432,0.2268,4
-62.93,437.491,4.4831,7
-57.0602,355.36,2.034,5
-66.1098,354.56,3.1666,7
-53.9301,345.451,0.528,3
-50.84,337.464,1.9401,3
-39.5201,288.388,2.54542,3
-54.6302,336.432,1.6266,4
-55.68,349.334,2.3878,3
-44.06,273.296,0.08758,4
-49.7702,345.233,3.5747,7
-64.0399,313.445,3.55254,8
-51.9001,346.449,0.0974,4
-52.1,311.385,1.60002,3
-60.3701,359.47,2.7362,8
-59.6099,358.446,0.5283,6
-52.4501,341.412,1.1781,6
-49.4001,320.443,3.4045,6
-54.9699,344.44,3.65,6
-53.3699,354.455,1.4253,8
-62.5602,388.464,2.39392,5
-52.0999,377.366,4.12042,5
-58.36,302.462,3.0613,5
-49.9298,341.27,4.8577,5
-45.7299,326.444,3.02692,4
-40.14,329.154,0.89472,4
-61.72,391.577,4.1999,6
-53.8799,365.218,2.8849,3
-58.3199,361.452,2.10252,4
-58.23,358.438,0.7437,3
-64.9201,449.523,3.8458,5
-60.4798,411.458,4.5092,7
-51.3501,392.315,2.56672,6
-64.0998,445.317,4.1946,5
-58.2301,339.439,2.21062,4
-42.1499,242.348,0.41312,5
-47.8799,273.315,3.0915,4
-37.7099,265.273,0.2512,2
-52.9499,359.514,3.1539,6
-54.9299,336.413,3.4198,5
-74.6798,438.496,3.3439,6
-55.4399,340.387,0.7201,5
-44.91,286.372,0.3227,7
-60.5199,331.803,2.9867,6
-44.05,248.33,1.47954,4
-54.31,301.434,3.584,8
-66.0499,441.528,3.0468,6
-56.0299,394.527,3.1375,7
-48.6398,389.452,1.074,6
-46.8399,327.38,2.9587,2
-60.8601,356.432,4.2159,4
-55.7199,350.444,2.04584,6
-40.8701,323.194,0.95598,4
-58.16,315.369,2.92162,8
-54.6299,348.418,2.3562,5
-56.0501,283.412,2.3242,7
-52.6501,424.872,2.7429,4
-52.3399,308.386,0.7615,6
-52.2399,337.397,1.8632,7
-54.9901,358.349,2.02822,10
-67.7001,436.375,4.4637,8
-51.3601,323.343,2.51012,3
-53.3101,338.331,1.0452,5
-57.5099,394.225,2.0294,4
-51.7799,275.352,3.37,6
-52.76,378.542,3.1584,5
-61.48,321.38,4.1261,5
-67.78,356.51,3.9686,9
-49.6599,359.253,3.9491,5
-51.93,333.5,1.7172,6
-57.6201,346.431,0.0273,6
-48.8801,320.422,1.6898,6
-55.4399,346.391,0.2325,7
-48.8899,355.439,0.89202,5
-51.4499,331.445,3.12,5
-54.3401,353.335,2.3552,5
-47.51,308.23,2.6226,3
-63.84,361.323,4.21052,4
-54.6498,434.539,3.28032,4
-65.23,369.856,3.94332,4
-56.2701,352.523,1.343,7
-50.77,295.339,1.6326,3
-61.45,394.406,3.5516,4
-55.75,358.438,2.47892,4
-52.6201,396.896,2.3299,6
-41.9399,365.327,1.84052,3
-61.3801,437.283,2.3613,4
-43.69,328.092,1.5313,4
-63.5701,471.539,2.3591,9
-50.3201,281.308,0.0071,5
-52.95,320.437,0.6604,3
-48.08,317.389,1.4424,2
-47.2899,310.159,0.25748,3
-44.6399,225.313,1.4669,2
-47.6599,277.368,0.6359,5
-62.7299,340.446,2.8205,6
-63.6901,358.442,1.6321,8
-61.81,382.464,2.5219,5
-48.4399,251.355,2.61132,3
-62.4001,435.387,4.718,3
-61.4402,474.966,4.89852,9
-55.27,385.891,4.8244,3
-54.0401,412.46,2.40224,5
-55.3001,409.512,0.6227,8
-57.7999,371.293,2.88142,4
-51.1099,361.446,0.6666,7
-62.36,389.463,2.0656,3
-44.2399,263.303,3.2698,4
-47.6601,285.34,1.0825,5
-60.5201,317.401,4.4664,6
-52.9401,298.427,1.7371,7
-61.2501,342.447,1.5609,3
-49.5,306.479,1.6522,4
-51.9201,330.409,2.7884,4
-51.4502,358.273,1.8943,3
-60.1701,495.982,4.84872,6
-54.0701,362.478,0.0775,4
-60.5499,375.473,2.5782,3
-63.7501,353.378,4.5795,4
-62.5798,347.89,3.1695,6
-52.93,289.257,1.7559,4
-45.2999,269.357,2.3378,6
-55.6501,399.495,2.7864,7
-52.4301,399.516,4.1756,4
-64.73,359.857,3.2606,5
-47.66,287.344,1.3711,1
-54.7699,354.454,4.49164,4
-60.5702,359.405,1.32952,5
-61.2,358.402,0.8074,8
-53.6401,358.389,1.4121,5
-46.37,278.308,1.2068,5
-50.18,260.337,0.4981,5
-54.0499,375.469,3.18378,7
-57.0602,379.551,3.0995,6
-52.2501,380.388,2.0161,7
-60.84,388.876,3.30798,5
-56.3701,350.462,3.24192,2
-75.8099,448.614,3.7772,4
-58.1701,357.886,0.3658,7
-65.1698,366.483,1.0179,4
-69.1798,380.41,3.2121,4
-50.2,323.437,1.1893,6
-60.4902,394.471,4.80094,5
-59.1601,344.455,2.7424,9
-56.92,352.422,2.9725,8
-51.9901,328.355,3.87674,7
-55.7199,314.393,1.1285,4
-68.99,408.498,4.92314,6
-58.7799,357.483,3.36912,6
-76.2898,394.54,3.8255,7
-40.4801,235.393,1.361,9
-56.7602,434.338,2.71462,6
-70.69,434.521,4.3076,7
-65.9099,390.487,3.001,8
-49.7901,341.402,2.5457,3
-56.11,355.32,3.0805,7
-64.37,376.457,1.6121,6
-59.5099,384.52,3.8237,4
-61.3299,387.509,3.5353,8
-52.5401,334.514,4.19254,4
-57.6101,397.5,3.07462,3
-40.52,298.209,3.0108,3
-55.45,319.405,2.56392,8
-54.69,344.48,3.6378,4
-40.79,371.643,4.2352,3
-49.6901,282.25,2.6391,4
-56.9101,364.82,2.527,8
-53.2801,384.347,2.4985,5
-53.9199,345.49,0.0691,4
-50.2701,293.411,0.7345,2
-48.85,270.254,2.762,2
-44.0699,304.14,1.7176,4
-56.9201,325.412,4.2826,5
-42.7501,359.314,3.9033,4
-58.8798,378.466,3.0462,8
-55.0101,289.35,3.1234,4
-48.0501,329.469,3.7357,2
-51.98,308.426,2.2186,2
-50.1,337.788,2.2891,4
-51.62,278.44,2.6608,2
-52.81,320.311,2.02194,3
-48.0299,245.257,2.05238,4
-43.3599,305.302,1.47112,2
-54.3799,443.429,2.75338,2
-44.3998,379.463,0.75632,3
-57.9399,362.478,2.03442,6
-57.9101,434.989,4.55472,9
-56.1199,350.447,3.6758,4
-59.3901,397.471,3.005,6
-64.1,359.422,3.2808,8
-43.38,279.384,2.36012,2
-60.52,359.34,3.4949,3
-57.2899,298.382,3.80762,5
-60.1801,329.404,2.0461,5
-47.7799,326.399,1.5771,2
-53.23,390.484,1.7249,3
-55.5699,387.457,2.5164,4
-49.1,304.415,2.2968,6
-63.2999,357.36,3.1582,5
-57.6201,330.476,2.9175,3
-63.8099,328.416,2.28578,6
-58.9801,321.461,3.3379,10
-67.34,355.478,4.2904,9
-47.0001,340.445,2.20802,5
-62.3298,356.47,2.72678,3
-51.9401,351.369,1.6425,4
-50.3601,307.394,1.317,6
-51.5601,289.423,2.74808,7
-60.65,423.966,3.5796,8
-41.32,202.213,1.3777,1
-55.65,367.453,2.22076,6
-59.55,389.927,4.03642,5
-55.6201,333.31,1.9579,6
-42.8698,349.265,1.30622,7
-61.9801,333.409,3.34412,6
-47.1101,406.223,3.1747,3
-53.8399,384.546,3.76564,6
-56.5102,339.382,3.1552,5
-55.1701,289.423,1.8677,6
-56.2099,425.507,0.48074,5
-50.9099,308.403,0.9374,5
-67.2701,426.513,2.9042,8
-48.2299,299.334,3.39812,3
-65.5999,363.501,4.2488,5
-60.11,325.909,4.3307,7
-68.04,357.473,3.55638,7
-51.75,388.449,3.7962,6
-55.8701,346.387,0.63552,6
-59.7501,377.47,0.2195,5
-46.0701,297.267,3.677,1
-41.9999,282.677,2.7973,1
-59.1799,327.241,3.0953,3
-59.6299,370.457,1.6676,5
-52.11,395.297,3.2178,3
-59.3,347.434,1.9839,5
-41.91,312.416,1.8873,6
-51.8799,342.439,2.5443,2
-66.6999,377.313,2.7403,5
-44.3101,285.75,1.9575,4
-51.6499,391.468,1.62824,7
-54.1501,360.393,0.9851,6
-58.45,396.314,2.3012,6
-46.7501,364.319,4.88694,4
-60.6499,392.462,0.8105,6
-60.7999,379.423,2.3847,5
-54.8,332.488,4.3728,4
-57.25,366.433,2.7965,3
-61.8001,382.552,3.3896,7
-56.8602,382.302,3.4378,2
-53.6801,353.463,0.6346,4
-55.2001,371.388,0.4377,4
-58.19,352.887,3.17,5
-55.6401,362.821,0.8457,3
-58.7801,370.446,1.553,6
-58.5401,340.393,3.269,6
-51.0301,351.476,2.9295,6
-60.4201,343.427,1.0088,6
-50.2302,379.574,3.4644,5
-66.41,379.451,2.3509,5
-53.2301,327.453,4.30738,2
-60.2699,358.438,1.9849,6
-58.2399,362.522,1.63612,8
-47.1401,358.251,3.3153,7
-58.0699,352.494,3.2594,6
-65.69,401.467,0.2046,6
-59.6801,381.523,3.3003,7
-44.52,317.218,2.9109,3
-63.32,338.47,4.6077,7
-40.2799,365.865,0.2356,3
-35.0101,241.707,1.4082,2
-55.6999,330.269,4.9266,5
-55.4099,337.46,2.9128,5
-55.07,323.209,4.2949,4
-44.2899,353.22,0.9779,2
-52.89,303.362,2.1235,5
-57.55,338.458,1.3577,5
-55.6702,339.819,3.3886,5
-63.8599,335.875,4.2237,7
-56.0099,349.431,2.4144,4
-45.7801,351.403,1.31384,3
-66.86,461.587,4.6873,6
-52.62,326.431,3.2258,4
-54.15,369.443,0.1995,7
-52.2399,356.448,0.1374,6
-58.9198,373.461,0.9707,5
-56.9999,361.427,1.14272,5
-63.1201,343.496,3.81714,7
-56.6701,358.413,2.8475,2
-66.2401,324.428,2.1985,5
-53.8702,392.391,1.8119,3
-52.5,336.338,3.4961,6
-49.0298,375.391,1.90222,4
-45.01,303.314,2.7753,3
-49.29,341.249,2.6733,5
-49.6601,257.301,0.5761,3
-59.7199,322.277,3.32002,2
-49.6699,271.364,3.3966,4
-60.2699,391.475,3.6065,6
-55.3301,274.32,1.8893,5
-54.1201,348.306,2.0124,6
-53.2001,357.763,4.4985,3
-48.54,303.381,2.3078,3
-54.6401,437.478,2.45252,6
-65.8102,393.531,3.2544,6
-50.0301,373.25,4.42862,4
-41.98,240.416,2.0968,3
-51.5898,332.473,1.4555,7
-69.8698,389.503,3.4304,7
-65.8201,374.431,3.7501,7
-64.2901,406.526,4.05682,4
-67.6701,413.93,4.9299,6
-40.2,261.285,0.11112,3
-44.89,272.308,0.5645,2
-58.9099,319.43,2.9967,6
-62.5299,388.493,1.2536,4
-48.4099,362.518,1.5423,4
-54.1501,302.462,4.07072,6
-47.8502,332.422,1.987,7
-70.7698,448.549,1.6957,5
-44.9201,263.45,4.45712,2
-52.7401,342.464,2.6981,7
-49.3701,392.443,1.9712,5
-68.9501,376.353,4.58558,5
-54.1498,358.442,1.76788,6
-61.2799,347.455,3.6204,8
-61.3299,346.471,2.6452,9
-47.4701,318.373,2.4419,3
-54.0499,336.267,1.0037,6
-47.0998,333.436,3.28492,6
-67.7899,370.453,1.046,8
-53.3101,247.382,2.8897,7
-48.7599,259.357,1.46622,4
-53.7799,338.451,4.0953,6
-53.1,299.418,3.6141,4
-65.3,325.481,4.48452,7
-54.4699,358.482,2.3205,7
-39.0601,291.369,0.5211,6
-64.1602,349.519,2.5483,7
-49.0001,353.386,0.1739,2
-60.7699,342.487,3.0118,10
-62.7899,374.311,2.5968,4
-59.91,376.397,2.80408,4
-51.9399,328.353,2.3092,4
-62.7199,446.5,2.3573,5
-45.2701,368.283,1.4113,2
-52.7899,344.845,2.2508,4
-65.4999,380.466,1.6258,5
-49.74,300.368,3.4864,2
-59.2899,296.273,3.6871,3
-50.8802,359.473,0.35972,8
-60.2501,395.337,2.252,3
-59.6002,348.378,3.83242,5
-51.3599,343.418,2.3201,1
-63.0002,415.415,4.7592,5
-50.5601,289.383,1.0967,2
-56.51,355.438,2.262,6
-56.8001,321.384,2.13222,4
-61.41,330.497,4.22688,6
-53.2299,353.875,3.4709,4
-62.5199,494.639,2.52522,8
-47.88,310.419,2.3454,5
-49.5399,330.407,2.9298,5
-52.0701,307.825,3.0715,3
-62.6099,436.516,1.53362,7
-57.32,386.29,2.653,4
-53.2199,371.365,1.3099,3
-40.0901,345.339,1.0653,5
-58.3299,344.43,4.9885,3
-56.4401,331.507,1.8452,9
-38.81,235.375,2.04648,2
-56.1701,351.472,1.9223,9
-60.0401,384.52,2.6852,7
-61.3501,468.894,0.79068,5
-51.1999,349.504,3.19682,7
-54.2501,324.346,3.6413,5
-55.4,393.438,1.9112,4
-53.8199,315.413,2.85252,3
-66.0501,409.486,1.90238,8
-50.0701,274.355,2.4103,7
-60.1602,351.45,4.811,8
-54.35,393.484,1.0872,5
-47.83,349.456,2.6287,3
-59.5199,333.432,1.7913,5
-52.8699,380.304,2.5331,8
-55.5,364.877,1.6461,7
-59.1499,427.421,1.6857,5
-49.1301,302.484,2.1685,4
-48.1299,357.37,0.18356,3
-66.1701,356.426,0.89012,4
-48.15,278.356,1.2259,3
-42.3,276.789,1.3908,2
-56.72,335.429,2.7191,7
-54.4099,356.417,3.29042,6
-53.6399,375.519,4.0908,4
-54.8999,313.427,0.5593,5
-52.95,290.363,0.5121,5
-52.1599,353.382,3.78122,3
-50.4299,359.415,0.1419,4
-52.67,332.347,2.884,8
-52.9599,327.388,1.68802,7
-64.2999,442.581,2.969,7
-62.6799,349.431,0.2366,7
-47.3099,355.441,1.4775,6
-61.1402,403.531,1.1083,8
-48.9799,283.35,3.51042,3
-59.2,353.382,0.54302,4
-49.51,325.518,3.3541,4
-54.4498,439.924,4.7248,5
-52.3499,365.437,1.9133,3
-51.4601,358.442,0.3218,4
-64.2998,451.499,2.29,6
-52.08,335.513,4.06244,4
-57.8899,315.404,3.5716,9
-49.1701,359.289,3.0307,2
-60.5099,374.445,2.3649,7
-59.89,349.341,2.29742,5
-51.9,350.422,2.3312,3
-51.6699,360.443,0.1215,3
-56.59,334.391,3.7964,2
-52.98,348.491,2.32222,4
-51.9998,348.487,3.423,3
-51.3101,325.394,0.44762,5
-50.3399,329.37,2.6633,2
-56.3499,299.418,2.41704,5
-55.4299,329.444,2.3648,3
-43.5799,292.451,3.0839,5
-44.35,202.261,1.3545,3
-55.6198,379.865,3.1422,4
-63.29,428.37,3.8082,7
-59.3601,382.512,1.4967,8
-55.1,383.363,2.3217,3
-63.55,324.453,3.4469,5
-43.06,319.427,0.45008,7
-58.6902,358.446,1.50804,7
-54.4002,404.923,3.6775,3
-61.6701,363.428,0.3397,6
-45.9101,300.453,1.121,6
-43.6199,337.464,3.365,5
-58.3999,352.482,3.80552,3
-56.7799,358.364,1.2812,2
-57.18,359.426,1.20442,6
-48.2701,349.7,2.8001,4
-62.0099,391.39,3.23462,3
-53.79,361.898,3.9495,2
-49.4098,395.225,2.0294,4
-62.4699,349.474,4.8723,4
-43.6901,280.397,1.28442,2
-63.1899,397.313,2.939,5
-61.5699,361.489,3.2553,6
-49.5299,293.455,1.7057,3
-56.69,360.502,1.5341,5
-67.1901,407.43,1.45354,4
-60.0399,428.526,3.90774,9
-52.98,271.368,1.7529,2
-50.2902,394.269,3.1088,5
-56.7799,271.351,3.604,8
-58.5502,355.429,2.29232,8
-51.0399,321.44,2.7704,4
-46.7202,357.39,0.7896,4
-57.4101,385.424,1.1275,4
-58.0498,394.537,1.7816,4
-55.61,389.423,3.3343,8
-44.34,421.519,3.8934,4
-45.5301,255.318,0.054,2
-63.3499,361.421,1.0053,6
-66.4601,379.399,1.9934,7
-52.8798,332.517,4.503,4
-54.6699,359.455,2.3921,3
-49.5201,360.233,2.3789,6
-59.67,369.339,3.5204,5
-56.26,318.402,2.0955,2
-59.0502,349.525,3.5574,6
-43.0398,373.519,1.257,2
-50.4601,298.383,1.2817,6
-51.3199,267.461,2.0829,5
-59.82,389.443,2.0074,6
-66.3299,348.483,4.9554,9
-52.3901,346.349,1.4947,1
-49.2201,300.366,1.1593,1
-61.19,386.452,2.3281,4
-47.77,259.397,1.411,4
-42.4801,320.348,2.1309,2
-46.8501,380.691,3.7681,3
-44.5901,270.279,1.3094,2
-69.1101,327.443,3.82204,5
-64.6301,357.422,3.0836,5
-63.3799,352.563,3.9423,9
-52.74,309.431,3.659,5
-45.5301,357.472,3.0663,7
-50.43,296.349,3.1662,1
-51.2699,399.535,2.5965,1
-48.5198,339.461,0.99,7
-56.4898,374.462,2.1599,4
-43.9401,328.409,0.6216,7
-57.9701,358.482,3.9125,5
-48.2601,328.298,2.892,5
-59.84,392.525,1.4706,4
-41.6601,284.381,1.84202,6
-36.6899,211.334,2.6971,3
-60.6599,357.454,1.3756,6
-59.93,357.426,1.3419,5
-61.8901,390.528,1.8234,9
-53.13,359.455,0.9166,6
-62.7001,398.45,3.8735,3
-54.9901,306.454,1.4331,5
-52.9799,371.51,3.7591,4
-55.0701,395.525,2.7039,2
-51.2701,330.41,0.573,7
-46.31,278.377,1.8854,4
-66.78,463.409,4.4102,7
-57.3001,329.4,3.0613,7
-56.0901,355.419,1.68558,5
-52.76,283.318,2.1553,5
-55.2501,350.427,0.69322,7
-52.3601,308.378,0.7507,3
-61.4999,357.41,1.0934,5
-56.4399,346.474,4.90972,5
-53.28,280.362,2.7403,4
-41.29,232.393,2.5679,3
-63.4599,452.467,2.08582,7
-51.6402,418.471,2.8148,7
-45.0599,275.36,0.1328,5
-57.1001,305.374,2.0069,7
-56.5902,399.524,3.87328,8
-63.7198,417.531,2.0826,8
-59.7802,387.373,3.8693,4
-46.0001,293.205,1.9897,6
-55.1901,345.355,2.25172,7
-40.68,257.721,1.3701,6
-55.4601,338.415,1.585,4
-47.4401,293.318,1.0134,4
-44.1999,280.412,1.9346,4
-50.1201,348.487,2.1272,3
-64.6398,350.511,2.359,9
-48.9501,309.431,2.0987,7
-61.2601,359.514,2.0631,5
-46.9001,231.361,1.6692,5
-52.5701,350.547,3.9906,5
-67.2602,384.524,2.61612,4
-54.6801,316.401,2.7233,3
-52.9802,336.461,3.4096,4
-56.7599,292.467,3.3359,5
-52.7501,320.455,0.4416,8
-48.1701,375.44,1.8778,5
-44.4399,385.392,1.1757,5
-57.1298,359.47,1.9874,5
-74.5802,400.482,3.2076,6
-48.3698,379.276,3.2253,5
-39.3901,248.164,2.3959,3
-56.43,347.362,2.56802,4
-62.0601,414.527,3.82952,6
-65.7702,469.542,0.5937,6
-54.2399,279.246,3.0432,5
-59.92,357.458,2.3374,5
-55.13,385.468,3.54332,9
-52.8999,392.893,4.4188,4
-59.0499,303.402,2.9709,7
-49.5099,332.286,1.2555,4
-51.9501,300.368,3.548,5
-57.7701,327.432,2.3335,7
-60.2602,430.482,2.4222,5
-35.88,255.337,0.2885,2
-54.1798,358.439,1.2438,7
-58.3099,370.478,4.97394,4
-42.5601,252.314,0.9794,4
-55.9501,318.291,2.5245,4
-41.5,258.321,1.9808,3
-47.94,337.401,1.76544,5
-57.3701,388.518,3.4174,3
-54.7999,301.39,2.0029,6
-45.9901,297.351,1.8975,5
-63.5901,325.334,2.10118,6
-46.9999,212.289,2.1464,6
-48.69,273.398,1.362,6
-61.32,397.508,1.49728,8
-43.9801,354.244,2.9563,2
-62.7201,356.853,4.55454,2
-52.0499,353.879,2.3145,4
-56.8699,319.438,1.274,5
-47.27,322.356,2.1507,2
-64.9101,374.525,3.7195,8
-46.61,337.416,2.0694,3
-55.18,307.84,4.9299,3
-51.1599,333.844,4.45748,6
-48.2702,354.409,1.3547,3
-61.6799,378.567,3.59174,5
-62.2899,344.499,4.4127,4
-58.8402,429.484,2.1369,5
-61.0901,370.47,4.332,5
-63.5802,359.47,0.864,3
-55.7301,349.475,1.5423,4
-55.4499,366.56,3.52954,7
-53.7901,385.415,2.8375,4
-59.67,351.399,3.2188,4
-58.1501,332.425,3.25102,5
-55.7502,415.324,4.7979,3
-59.3302,357.473,3.90332,4
-52.56,339.399,2.1854,5
-60.4101,371.268,1.8366,7
-52.3101,349.519,3.74664,8
-59.46,352.504,1.236,8
-51.87,387.48,2.71692,3
-51.38,345.786,3.9558,5
-58.5798,393.494,1.6888,5
-55.34,320.316,1.8201,2
-61.5699,401.457,4.80182,7
-54.3,359.853,4.1355,4
-49.8499,354.806,1.714,5
-59.3699,354.498,3.63652,7
-59.3798,386.517,3.0962,5
-44.2801,273.405,2.2856,1
-48.8299,393.561,0.8814,4
-49.08,256.39,0.9903,4
-64.7601,356.426,1.35842,7
-44.32,369.49,3.15388,3
-50.0499,323.389,2.8453,4
-48.6901,298.434,3.89524,3
-44.17,290.319,1.41888,2
-67.66,384.436,1.8366,8
-47.4201,343.437,3.08182,2
-63.6202,392.366,0.455,8
-58.67,359.319,3.4081,4
-54.66,262.401,2.3252,7
-58.2699,316.466,4.5417,4
-66.0899,351.512,3.3611,7
-47.7699,394.512,2.6796,3
-65.3898,377.533,1.2978,8
-61.8499,390.459,2.2505,6
-61.5602,399.451,2.981,5
-53.7998,366.414,1.4893,6
-60.3299,360.458,0.5176,5
-62.5701,382.411,3.1485,9
-53.6301,281.396,2.267,5
-51.7498,350.459,2.58374,9
-51.0701,304.438,2.10784,4
-51.5499,447.451,3.17212,5
-50.4998,371.437,1.4502,5
-47.2101,337.42,2.63942,3
-46.72,283.335,0.5595,1
-59.65,331.778,4.5288,3
-61.3,313.441,3.91544,8
-59.12,337.769,4.0746,5
-50.9001,306.328,1.466,3
-57.1299,359.312,2.138,4
-54.9001,350.419,0.0929,6
-58.7,389.521,2.6945,4
-44.44,337.441,2.6818,4
-48.96,396.868,0.9117,7
-65.5701,380.414,2.5952,6
-49.0999,257.349,3.9617,3
-50.4701,386.315,2.4943,4
-62.1601,355.442,2.80502,7
-47.3202,339.237,2.6058,3
-57.37,361.486,1.8279,8
-56.9598,382.913,4.2115,8
-61.5599,369.425,1.4661,9
-48.0901,353.419,2.9296,6
-42.4801,277.412,1.751,2
-53.45,364.386,4.2122,5
-63.0301,349.478,2.7375,4
-47.3101,260.303,2.6941,5
-58.34,385.464,3.79812,2
-63.35,394.441,3.914,8
-51.9301,342.443,2.43282,6
-59.1298,392.584,3.416,4
-53.15,281.4,2.33444,5
-62.7001,321.399,4.1713,5
-58.5398,403.556,1.6809,4
-45.91,229.408,3.1978,7
-51.98,356.386,0.40682,3
-58.9302,341.543,3.88024,7
-47.99,274.271,0.9837,4
-56.18,357.502,2.2185,5
-51.9401,357.313,2.6766,4
-58.9502,359.369,3.88104,3
-42.32,231.324,1.8835,1
-54.5699,355.486,1.9635,7
-51.0099,358.364,1.79182,4
-43.79,399.289,0.7251,1
-55.79,334.294,2.6991,3
-51.87,303.381,2.5103,4
-53.27,333.319,1.9392,5
-45.7001,307.312,1.9813,2
-59.8301,381.436,2.234,4
-54.8499,378.889,3.0802,7
-56.72,346.475,3.6581,3
-39.67,320.348,0.0712,4
-63.2599,416.562,4.46562,8
-45.1698,318.389,2.95932,4
-48.0899,318.333,0.1408,3
-51.8601,319.365,0.0839,8
-45.4799,368.279,3.48614,3
-56.0498,319.376,3.3126,6
-58.6601,345.358,4.6125,4
-63.08,358.279,4.6891,5
-70.5899,384.447,2.98674,5
-51.8799,316.445,3.19092,3
-58.7102,372.347,2.2454,6
-56.8802,344.459,4.40292,5
-63.88,393.459,2.754,6
-45.36,307.321,2.26442,6
-56.4598,355.442,0.3441,4
-52.1701,339.302,4.8788,6
-54.1701,339.399,2.5601,7
-56.4599,385.468,3.38908,6
-60.6001,352.398,1.5072,6
-56.3499,376.57,1.8064,2
-62.8601,359.445,2.4977,5
-51.5999,320.397,0.4245,4
-45.9499,320.38,3.61532,2
-58.59,352.203,3.6735,6
-41.7401,240.738,1.8398,3
-55.0999,323.343,2.8597,6
-59.0901,418.476,4.26032,3
-56.2001,381.201,3.39072,4
-73.8999,407.503,2.6164,9
-61.1599,399.516,2.76072,7
-71.6301,412.497,4.1482,8
-56.1399,357.458,1.12888,4
-60.9401,354.41,1.5414,6
-51.0499,344.415,1.42828,5
-63.9601,416.518,3.5909,6
-56.8399,347.415,0.4825,5
-47.3799,285.318,3.1518,3
-43.6001,337.645,2.5945,4
-50.5401,353.724,3.3749,4
-43.5099,268.401,1.7921,5
-57.9401,284.469,3.3481,3
-62.3101,312.394,3.8461,4
-39.7201,269.389,1.3241,6
-46.84,242.344,0.70298,3
-53.3399,361.433,2.2316,4
-64.45,383.807,0.3084,4
-63.4299,407.401,4.34042,6
-49.5201,296.306,2.121,4
-44.8001,269.238,1.6503,4
-62.6602,359.294,3.6059,5
-59.7899,438.5,2.8132,4
-50.69,309.325,2.90164,3
-43.54,375.831,2.6497,2
-61.0401,311.351,4.4001,7
-57.25,359.43,1.7022,6
-65.2699,390.361,3.9265,4
-60.5299,387.446,3.0774,6
-56.2799,342.871,2.5448,4
-46.41,239.359,2.3211,5
-50.9499,343.333,3.4095,5
-40.0499,358.398,0.716,3
-56.65,375.429,1.0071,7
-54.79,397.239,2.72952,5
-43.7499,287.722,0.8355,3
-51.0501,283.366,2.8908,3
-57.9898,384.362,2.9683,4
-46.4001,358.28,1.9372,6
-44.97,350.381,1.4955,6
-55.5701,339.457,2.2619,5
-51.8799,346.374,0.1266,4
-42.9901,318.417,0.4298,3
-51.1598,348.852,2.38134,8
-50.6298,342.524,3.3157,8
-52.53,340.452,2.6136,1
-67.5302,401.454,4.3953,7
-56.96,300.362,1.4276,4
-64.1001,321.449,4.4275,4
-54.6101,310.438,2.0989,6
-46.2001,259.353,1.2186,2
-57.85,368.434,1.085,5
-57.8001,335.326,0.4355,7
-61.6,435.705,4.8428,7
-60.58,339.439,4.36398,4
-42.7,304.354,0.6047,4
-51.5799,289.297,2.5929,3
-59.5302,336.435,1.3951,5
-25.6601,212.23,1.8153,3
-60.82,277.452,3.6043,6
-51.05,348.495,2.3318,4
-55.6,425.46,3.9087,2
-54.6201,360.788,4.40728,5
-47.6999,298.257,3.0757,5
-43.73,390.241,3.5302,5
-44.0499,275.276,0.4417,6
-46.3001,348.443,2.7673,4
-39.5199,333.344,0.1525,2
-60.49,322.364,2.91618,4
-49.9699,296.327,0.90722,7
-60.4099,360.385,2.9477,3
-65.87,357.426,2.2587,6
-51.1199,283.412,2.249,6
-67.2202,422.394,3.9116,6
-57.61,313.401,2.78552,5
-61.9399,354.416,4.95522,8
-59.5999,358.446,1.19532,6
-62.11,387.461,1.99148,7
-63.62,354.498,3.21052,4
-62.45,413.543,0.8843,8
-50.3499,327.428,1.804,6
-48.6601,304.394,2.56274,5
-55.46,350.434,2.27644,4
-50.6699,357.273,3.83478,3
-56.1098,392.86,3.547,5
-73.3401,387.524,1.8399,8
-57.4901,317.36,3.20058,5
-50.39,262.288,1.3101,3
-51.13,330.472,2.8178,2
-56.9001,431.424,3.18624,5
-51.2499,358.489,0.744,5
-63.0202,391.493,3.0537,9
-54.9601,328.359,3.599,4
-47.0501,343.449,0.0701,3
-53.95,352.345,1.6843,6
-54.8399,333.375,3.4024,5
-61.8799,361.486,1.5897,5
-52.9302,407.814,0.838,4
-59.1201,319.518,3.1075,9
-54.3298,355.457,2.9985,3
-66.6001,353.466,3.14928,5
-69.8798,432.553,2.96118,7
-57.9401,286.394,4.1219,4
-63.4802,442.562,4.32384,5
-38.4801,269.663,1.3697,1
