score,MolW,cLogP,RotB
-40.0699,224.308,0.7562,6
-46.81,335.356,1.7556,3
-44.2599,322.312,1.86952,3
-51.0402,348.447,1.5863,6
-49.5199,312.369,2.652,2
-62.3301,361.833,2.5299,6
-55.4299,339.407,3.99532,5
-51.85,326.705,5.2142,2
-53.3001,392.253,3.1003,3
-60.21,371.451,3.0457,4
-44.04,324.425,1.36604,8
-61.1601,376.504,3.4993,6
-55.3301,406.468,0.02284,4
-56.07,371.46,2.6127,5
-53.84,337.335,2.2805,4
-55.7801,324.371,2.1806,3
-55.73,274.367,5.1281,2
-47.52,283.419,3.21208,2
-48.4099,357.292,2.8211,3
-58.57,356.369,2.2602,7
-57.0598,319.282,4.4838,4
-53.0598,359.333,1.1563,4
-53.77,356.22,0.8788,3
-56.5601,354.36,3.1896,3
-48.8199,279.383,3.6869,3
-54.8099,359.39,0.4888,7
-50.5899,363.483,1.1375,4
-46.2498,396.409,2.8364,2
-48.91,273.783,3.0815,5
-45.04,351.378,1.80718,4
-29.5001,222.273,1.14692,3
-51.2999,297.351,1.13942,8
-55.8701,353.4,1.1259,5
-62.91,352.494,3.4003,4
-59.2999,393.285,3.5934,6
-58.3201,294.351,0.2165,5
-34,341.451,3.66102,3
-51.0402,375.862,4.65898,5
-57.99,350.507,3.9353,10
-49.0599,355.865,4.4585,3
-64.4299,398.463,1.82292,6
-39.6101,224.304,1.392,2
-52.5201,363.476,1.1754,8
-50.5399,257.443,2.7566,7
-40,223.32,1.3279,4
-58.1099,384.274,1.8213,5
-63.3,356.445,2.5286,7
-48.3901,284.768,3.28332,4
-60.3899,353.894,2.5313,7
-62.6501,340.471,2.3451,5
-62.2799,336.401,3.8191,7
-59.2401,325.497,2.0697,7
-42.12,271.448,4.93736,2
-62.9602,423.501,2.9115,10
-57.2198,359.455,1.5265,4
-45.0599,272.349,0.0764,4
-59.9899,358.446,0.846,6
-51.2601,355.467,1.65018,5
-60.0299,348.537,4.68552,7
-52.06,303.318,3.1172,4
-37.6401,291.438,2.41044,5
-58.0798,363.451,2.762,7
-60.0402,359.438,0.0247,4
-44.77,361.486,1.4203,2
-53.2699,331.375,3.87458,5
-53.26,355.408,2.679,1
-52.6901,326.396,2.0378,3
-42.7101,250.298,1.10538,3
-51.25,336.392,0.229,3
-62.9399,376.428,2.0163,3
-58.2301,354.372,3.0757,3
-74.9799,424.522,3.8112,9
-56.3299,392.518,1.211,7
-51.78,294.464,2.561,6
-61.4802,402.605,1.3981,6
-52.6902,335.448,1.9863,8
-66.4601,359.473,4.6786,6
-60.1299,375.469,3.2107,5
-55.99,381.484,2.04032,4
-53.0198,358.385,0.3922,4
-47.5599,297.305,2.8052,4
-65.1299,433.448,2.6158,10
-60.83,350.488,2.23292,5
-53.7299,333.498,0.6455,5
-58.3898,396.347,4.5189,7
-61.0399,388.443,1.052,6
-57.06,307.467,1.65064,3
-52.9999,339.484,0.5312,9
-58.1499,352.862,3.3805,5
-40.5899,286.397,1.73912,4
-59.99,356.47,1.6113,7
-69.3301,369.386,4.9423,6
-54.4,339.277,4.5174,3
-46.0201,312.439,1.0255,5
-47.96,261.365,3.77384,4
-43.7799,358.417,3.0347,4
-47.7,341.314,1.7314,3
-43.5199,261.774,1.7191,4
-55.22,350.463,3.77004,6
-48.93,298.199,4.49712,2
-81.7202,447.583,4.06892,10
-53.6498,343.81,4.02184,3
-49.6498,384.48,2.3107,1
-51.6401,360.439,0.9502,4
-58.7299,329.362,4.2319,5
-63.04,350.337,1.4356,8
-66.7899,348.512,2.6165,6
-56.1001,369.296,4.6601,5
-53.6101,396.844,3.74788,4
-46.56,262.357,1.1871,5
-57.69,339.439,2.8585,2
-39.99,238.331,1.41758,5
-48.66,349.481,3.90892,4
-49.6801,283.294,0.6408,6
-65.22,401.576,4.0454,8
-56.6801,454.951,2.6988,7
-53.23,318.348,1.7414,4
-58.2299,361.423,1.2706,6
-45.86,302.172,1.7491,4
-64.8799,399.278,3.3001,7
-54.03,319.415,2.4308,6
-42.07,308.415,0.684,4
-53.0199,358.504,1.2883,6
-44.0599,246.354,2.3736,3
-50.13,306.799,4.70668,3
