score,MolW,cLogP,RotB,MolW.scaled,cLogP.scaled,RotB.scaled
-54.2501,315.373,2.19892,2,-0.146327123652578,-0.273316804402406,-1.38595683624153
-59.87,450.255,3.0776,6,1.61471881096733,0.35192478923419,0.659209465682794
-47.7501,325.342,1.04722,4,-0.016169897912851,-1.09283101138477,-0.363373685279366
-53.5099,244.313,2.9516,4,-1.07410046712384,0.262267074482277,-0.363373685279366
-62.8701,352.502,4.63962,5,0.338436406740674,1.46341005587533,0.147917890201714
-46.0201,262.378,3.50062,6,-0.838240272220824,0.652932777284621,0.659209465682794
-53.4101,327.344,2.77654,4,0.009968608048723,0.137699776510293,-0.363373685279366
-47.49,395.483,3.1151,2,0.899604800713913,0.378608632910354,-1.38595683624153
-53.6301,305.353,1.65002,6,-0.277150215428289,-0.663897118904986,0.659209465682794
-67.7601,418.505,1.8181,6,1.20018456307523,-0.544296573702593,0.659209465682794
-50.4,327.409,2.8548,3,0.010817260839684,0.193387179339537,-0.874665260760446
-37.7699,195.247,2.05162,3,-1.71471581852774,-0.37813094236238,-0.874665260760446
-52.3399,271.36,3.48,3,-0.720969512706908,0.638260221108554,-0.874665260760446
-49.7798,341.477,1.1436,4,0.194491837197039,-1.02424997529121,-0.363373685279366
-64.4602,347.466,2.49434,5,0.272685399736435,-0.063105041767404,0.147917890201714
-47.6701,334.851,4.54094,4,0.107981477306235,1.39319241070296,-0.363373685279366
-50.0299,302.363,1.6208,1,-0.316188243812459,-0.684689169897454,-1.89724841172261
-49.44,350.484,2.36342,4,0.312089001630556,-0.15626367680963,-0.363373685279366
-51.1901,322.905,4.66342,6,-0.047987849475467,1.48034540199513,0.659209465682794
-66.11,369.431,3.594,4,0.559464762097063,0.719379105884094,-0.363373685279366
-47.0699,294.395,0.8286,3,-0.420220019787396,-1.24839426217099,-0.874665260760446
-58.8098,388.212,3.72502,6,0.804673193897426,0.81260889784279,0.659209465682794
-55.54,323.82,2.55042,5,-0.036041429418104,-0.023200243011156,0.147917890201714
-54.86,331.378,4.5712,8,0.062637305875392,1.41472449362671,1.68179261664495
-49.6202,362.474,0.5365,5,0.468632801070754,-1.4562436151792,0.147917890201714
-64.76,385.899,3.5098,7,0.774474210736027,0.659464982216546,1.17050104116387
-50.6099,353.473,2.48534,6,0.351113973817942,-0.069509164249684,0.659209465682794
-48.6002,381.483,0.7825,3,0.716818045737869,-1.28119760066356,-0.874665260760446
-46.9,326.784,2.34952,5,0.002657137849682,-0.166154488198929,0.147917890201714
-55.35,306.409,3.9827,1,-0.263362871624382,0.995966040202099,-1.89724841172261
-54.26,352.837,3.30842,4,0.342810232663315,0.516169183829718,-0.363373685279366
-53.15,285.351,1.1218,4,-0.53830026350192,-1.03976218308162,-0.363373685279366
-46.4599,267.329,1.3817,5,-0.773599041943224,-0.85482535717668,0.147917890201714
-45.2199,310.329,1.085,4,-0.21218258023109,-1.06594792834249,-0.363373685279366
-56.2698,359.492,0.0126,6,0.429699222260857,-1.82903470056433,0.659209465682794
-0.3396,66.64,2,1,-3.39383411832803,-0.414862142644077,-1.89724841172261
-61.9199,392.908,3.8677,5,0.865985093995105,0.914135586261861,0.147917890201714
-59.8501,363.51,1.25332,9,0.482159020938981,-0.946176606540573,2.19308419212603
-54.8898,441.506,1.3639,4,1.50049014530409,-0.867491288308299,-0.363373685279366
-51.7201,319.451,4.43272,4,-0.093083953167413,1.31618639569937,-0.363373685279366
-54.9798,381.86,1.0115,4,0.721740231925439,-1.11824826194778,-0.363373685279366
-64.2299,358.486,1.98252,5,0.416564688296149,-0.427300371642993,0.147917890201714
-49.3999,364.368,0.1415,5,0.493361237779656,-1.7373134352348,0.147917890201714
